Tanggal;RR ARG
2024-02-01 00:00:00+00;19,8
2024-02-02 00:00:00+00;14,6
2024-02-03 00:00:00+00;0,8
2024-02-04 00:00:00+00;0,6
2024-02-05 00:00:00+00;127,8
2024-02-06 00:00:00+00;13,2
2024-02-07 00:00:00+00;9,2
2024-02-08 00:00:00+00;0,2
2024-02-09 00:00:00+00;3,8
2024-02-10 00:00:00+00;0,2
2024-02-11 00:00:00+00;2,6
2024-02-12 00:00:00+00;6,6
2024-02-13 00:00:00+00;2,4
2024-02-14 00:00:00+00;0,2
2024-02-15 00:00:00+00;63,4
2024-02-16 00:00:00+00;0
2024-02-17 00:00:00+00;0
2024-02-18 00:00:00+00;0,8
2024-02-19 00:00:00+00;0
2024-02-20 00:00:00+00;17,8
2024-02-21 00:00:00+00;17,4
2024-02-22 00:00:00+00;0
2024-02-23 00:00:00+00;0
2024-02-24 00:00:00+00;0
2024-02-25 00:00:00+00;24,8
2024-02-26 00:00:00+00;15
2024-02-27 00:00:00+00;0
2024-02-28 00:00:00+00;0
2024-02-29 00:00:00+00;1,2
